English Word,French Word,Frequency
project,projet,244
world,monde,568
their,leur,2076
library,bibliothèque,7
often,souvent,119
public,Publique,55
certain,certain,121
copyright,droits d'auteur,228
should,devrait,1535
version,version,222
complete,Achevée,241
works,travaux,245
provided,à condition de,247
college,Université,224
machine,machine,223
readable,lisible,223
copies,copies,445
distributed,distribué,442
others,autres,333
personal,personnel,233
prohibited,interdit,221
commercial,commercial,221
includes,comprend,223
service,un service,332
download,Télécharger,221
proud,fier,159
neither,ni,118
under,sous,286
plain,plaine,86
since,depuis,410
farther,plus loin,149
would,aurait,2240
about,sur,350
please,S'il vous plaît,339
those,ceux,537
first,première,988
least,moins,67
hours,heures,87
hundred,cent,104
which,lequel,2154
number,nombre,36
paper,papier,50
these,celles-ci,1252
other,autre,555
point,point,92
general,général,139
small,petit,84
effect,effet,43
right,droite,207
matter,matière,210
although,bien que,684
demand,demande,70
cannot,ne peux pas,719
party,fête,38
receive,recevoir,87
discover,découvrir,31
within,dans,283
money,argent,141
person,la personne,76
return,revenir,135
second,seconde,563
express,Express,32
particular,particulier,41
above,au dessus,115
freely,librement,36
think,pense,862
write,écrire,107
desire,le désir,171
could,pourrait,1061
never,jamais,959
tender,soumissionner,123
bright,brillant,52
making,fabrication,71
where,où,1345
sweet,sucré,707
fresh,Frais,78
waste,déchets,35
grave,la tombe,82
shall,doit,3473
worth,vaut,162
being,étant,640
beauty,beauté,139
treasure,Trésor,33
praise,louange,123
answer,répondre,272
child,enfant,105
blood,du sang,344
glass,verre,32
whose,dont,612
repair,réparation,36
lovely,charmant,51
through,par,244
despite,malgré,42
golden,d'or,90
single,Célibataire,54
image,image,58
nothing,rien,436
given,donné,172
great,génial,828
having,ayant,144
nature,la nature,218
lives,vies,131
gentle,doux,336
frame,Cadre,36
every,chaque,491
dwell,habiter,30
summer,été,41
winter,hiver,32
enough,assez,224
walls,des murs,52
flowers,fleurs,24
substance,substance,26
again,encore,638
ready,prêt,110
breed,race,41
another,un autre,330
times,fois,158
death,décès,357
alive,vivant,121
light,lumière,145
burning,brûlant,37
looks,regards,142
sacred,sacré,47
strong,fort,136
youth,jeunesse,145
deadly,mortel,126
weary,se lasser,58
feeble,faible,19
unless,sauf si,151
music,la musique,96
pleasure,plaisir,85
offend,offenser,48
chide,gronder,39
parts,les pièces,74
husband,mari,126
blest,heureux,211
prove,prouver,222
widow,veuve,49
private,privé,54
shape,forme,54
spend,dépenser,60
toward,vers,92
shame,la honte,158
grant,subvention,91
chief,chef,105
change,changement,121
presence,présence,67
without,sans pour autant,349
bounty,prime,22
meant,signifiait,40
count,compter,79
tells,raconte,41
brave,courageux,148
behold,voir,117
barren,Dénudé,33
green,vert,55
borne,supporté,63
question,question,93
herself,se,150
longer,plus long,79
coming,venir,82
after,après,346
issue,problème,78
house,maison,273
eternal,éternel,34
stars,étoiles,38
fortune,fortune,192
brief,bref,39
heaven,paradis,356
acquainted,connaissance,128
constant,constant,37
truth,vérité,165
together,ensemble,94
thrive,prospérer,30
store,boutique,24
consider,considérer,40
thing,chose,251
holds,tient,77
little,peu,406
nought,néant,45
shows,montre,84
secret,secret,52
perceive,apercevoir,84
state,Etat,166
before,avant,689
tyrant,tyran,28
means,veux dire,200
endure,supporter,533
maiden,jeune fille,51
painted,peint,45
outward,vers l'extérieur,45
guard,garde,145
drawn,tiré,59
believe,croyez,209
knows,sait,178
yours,le tiens,79
twice,deux fois,61
rough,rugueux,52
shake,secouer,90
short,court,64
sometime,parfois,73
complexion,complexion,23
course,cours,100
blunt,cru,25
earth,Terre,139
pluck,cueillir,106
teeth,les dents,29
fierce,féroce,37
sorry,Pardon,75
forbid,interdire,43
there,Là,1367
master,Maître,506
mistress,maîtresse,257
heart,cœur,528
false,faux,333
object,objet,26
souls,âmes,65
woman,femme,153
wrought,forgé,35
purpose,objectif,117
truly,vraiment,81
breast,Sein,35
elder,aîné,28
therefore,par conséquent,459
bearing,palier,62
nurse,infirmière,25
forget,oublier,77
perfect,parfait,43
strength,force,78
plead,plaider,41
tongue,langue,231
learn,apprendre,72
painter,peintre,8
table,table,29
hanging,pendaison,27
turns,se tourne,49
therein,la bride,47
cunning,ruse,58
grace,la grâce,345
favour,favoriser,65
triumph,triomphe,24
pride,fierté,58
frown,froncer les sourcils,25
glory,gloire,63
merit,mérite,32
written,écrit,30
witness,témoin,93
thought,pensée,285
apparel,vêtements,47
haste,hâte,80
limbs,membres,29
intend,avoir l'intention,43
darkness,obscurité,24
blind,aveugle,51
sight,vue,94
shadow,ombre,48
jewel,bijou,36
makes,fait du,344
black,noir,122
night,nuit,274
quiet,silencieux,51
advantage,avantage,101
enemies,ennemis,35
consent,consentement,56
hands,mains,167
clouds,des nuages,36
flatter,flatter,32
disgrace,disgrâce,33
alone,seul,83
trouble,difficulté,60
curse,malédiction,70
enjoy,prendre plaisir,38
almost,presque,156
wealth,richesse,51
contempt,mépris,92
drown,noyer,39
precious,précieux,69
grieve,pleurer,37
account,Compte,31
while,tandis que,192
loving,aimant,106
buried,enterré,38
lovers,les amoureux,38
bones,des os,37
grown,grandi,55
birth,naissance,30
brought,apporté,188
march,Mars,75
better,mieux,501
glorious,glorieux,37
morning,Matin,69
sovereign,souverain,67
early,de bonne heure,39
didst,didst,178
promise,promettre,70
forth,en avant,229
rotten,pourri,33
sorrow,chagrin,118
bears,ours,85
tears,larmes,184
ransom,une rançon,34
stain,tache,34
fault,faute,89
bring,apporter,435
lawful,légitime,50
civil,civil,43
needs,Besoins,141
thief,voleur,26
confess,avouer,90
loves,aime,153
steal,voler,70
kindness,la gentillesse,25
father,père,404
deeds,actes,71
dearest,très cher,51
spite,dépit,41
comfort,confort,115
whether,qu'il s'agisse,95
absence,absence,34
leisure,loisir,35
entertain,divertir,35
hence,Par conséquent,150
blame,faire des reproches,56
taste,goût,59
grief,douleur,116
known,connu,137
pretty,jolie,101
liberty,liberté,23
leave,laisser,522
excuse,excuse,57
because,car,182
abuse,abuser de,25
friend,ami,166
found,a trouvé,185
dreams,rêves,27
clear,clair,44
heavy,lourd,139
sleep,sommeil,130
flesh,la chair,86
place,endroit,233
large,grand,56
water,eau,83
quick,rapide,118
motion,mouvement,48
until,jusqu'à,76
straight,tout droit,76
title,Titre,64
either,Soit,152
present,présent,203
whence,d'où,71
